Smithers,10.0
Northern Rockies,9.999999999813193
Kitimat,9.999999987635393
Ladysmith,9.99999998582963
Qualicum Beach,9.999999984023864
Sechelt,9.999999978433106
View Royal,9.999999977507985
North Saanich,9.99999997376747
Sidney,9.99999997188609
Prince Rupert,9.999999969448753
Parksville,9.999999968141129
Sooke,9.9999999659751
Powell River,9.999999965281258
Comox,9.999999957849154
Terrace,9.999999953868462
Colwood,9.999999948815878
Esquimalt,9.999999945275507
Port Alberni,9.99999994517321
Whitehorse,9.999999912229104
Courtenay,9.999999909942986
North Cowichan,9.999999891809715
Campbell River,9.999999867516381
Langford Station,9.999999866609052
Duncan,9.999999826094959
Nanaimo,9.999999621265065
Antigonish,4.606917664465855
Saint-Henri,4.606917664323657
Montréal-Ouest,4.60691766390383
Shannon,4.6069176638970575
Témiscouata-sur-le-Lac,4.606917663829344
Burton,4.606917663673601
Saint-Paul,4.606917663653288
Gananoque,4.606917663402746
Hudson,4.6069176633621165
Val-David,4.606917663064177
Woodstock,4.606917662935519
Deer Lake,4.606917662793319
Saint-Honoré,4.606917662739148
Marystown,4.606917662339636
Cochrane,4.606917662305778
Grand Falls,4.606917662271921
Sackville,4.6069176622380645
Lanark Highlands,4.606917662190664
Cornwall,4.60691766212295
L’Epiphanie,4.606917662089094
Windsor,4.606917661994293
Cookshire,4.606917661818237
Trent Lakes,4.606917661791153
Ashfield-Colborne-Wawanosh,4.606917661621867
Saint-Pie,4.606917661513525
Sainte-Martine,4.606917661357784
L'Ange-Gardien,4.606917661337468
Notre-Dame-du-Mont-Carmel,4.606917661317153
Richelieu,4.606917661317153
Saint-Philippe,4.6069176611275555
McMasterville,4.606917660314987
South Bruce,4.606917660152472
Tay Valley,4.606917659976417
Saint-Césaire,4.606917659834217
Verchères,4.606917659793589
Princeville,4.606917659786816
Sainte-Brigitte-de-Laval,4.606917659766503
Front of Yonge,4.606917659671704
Southwest Middlesex,4.606917659583677
Petrolia,4.60691765945502
Pontiac,4.606917658723708
