city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Hoopa,Hoopa,CA,California,6023,Humboldt,6023,Humboldt,41.0803,-123.6972,3393,64,polygon,FALSE,FALSE,America/Los_Angeles,3,95546,1840116601
San Anselmo,San Anselmo,CA,California,6041,Marin,6041,Marin,37.9821,-122.5699,12580,1814,polygon,FALSE,TRUE,America/Los_Angeles,3,94960 94978 94979,1840011449
San Martin,San Martin,CA,California,6085,Santa Clara,6085,Santa Clara,37.0829,-121.5963,7313,243,polygon,FALSE,FALSE,America/Los_Angeles,3,95046 95020 95038,1840113219
Auberry,Auberry,CA,California,6019,Fresno,6019,Fresno,37.0754,-119.49,2582,52,polygon,FALSE,FALSE,America/Los_Angeles,3,93602,1840111831
Sky Valley,Sky Valley,CA,California,6065,Riverside,6065,Riverside,33.8912,-116.3551,2430,38,polygon,FALSE,FALSE,America/Los_Angeles,3,92241,1840114664
Easton,Easton,CA,California,6019,Fresno,6019,Fresno,36.6524,-119.7908,2087,267,polygon,FALSE,FALSE,America/Los_Angeles,3,93706 93725,1840112081
McKinleyville,McKinleyville,CA,California,6023,Humboldt,6023,Humboldt,40.9489,-124.0857,16963,314,polygon,FALSE,FALSE,America/Los_Angeles,3,95519,1840112234
Alto,Alto,CA,California,6041,Marin,6041,Marin,37.9056,-122.5187,751,2305,polygon,FALSE,FALSE,America/Los_Angeles,2,94941,1840114454
Sausalito,Sausalito,CA,California,6041,Marin,6041,Marin,37.858,-122.4932,7141,1557,polygon,FALSE,TRUE,America/Los_Angeles,3,94965 94966,1840011454
Highlands-Baywood Park,Highlands-Baywood Park,CA,California,6081,San Mateo,6081,San Mateo,37.5227,-122.3448,4245,905,polygon,FALSE,TRUE,America/Los_Angeles,3,94402,1840112409
Allendale,Allendale,CA,California,6095,Solano,6095,Solano,38.4426,-121.9814,1403,88,polygon,FALSE,FALSE,America/Los_Angeles,3,95688,1840114453
Rosemont,Rosemont,CA,California,6067,Sacramento,6067,Sacramento,38.5477,-121.3553,23700,2092,polygon,FALSE,FALSE,America/Los_Angeles,2,95827 95826,1840113171
Dublin,Dublin,CA,California,6001,Alameda,6001,Alameda,37.7161,-121.8964,60939,1545,polygon,FALSE,TRUE,America/Los_Angeles,3,94568 94551,1840105881
Tarpey Village,Tarpey Village,CA,California,6019,Fresno,6019,Fresno,36.7941,-119.7012,3200,1554,polygon,FALSE,FALSE,America/Los_Angeles,3,93727,1840114677
San Lorenzo,San Lorenzo,CA,California,6001,Alameda,6001,Alameda,37.6737,-122.1349,25101,3491,polygon,FALSE,FALSE,America/Los_Angeles,2,94541 94580,1840113215
Day Valley,Day Valley,CA,California,6087,Santa Cruz,6087,Santa Cruz,37.0255,-121.8559,3816,79,polygon,FALSE,FALSE,America/Los_Angeles,3,95076 95003,1840112649
Paxton,Paxton,CA,California,6063,Plumas,6063,Plumas,40.0334,-121.003,0,0,polygon,FALSE,FALSE,America/Los_Angeles,3,95971,1840113012
Cedar Slope,Cedar Slope,CA,California,6107,Tulare,6107,Tulare,36.1436,-118.5771,0,0,polygon,FALSE,FALSE,America/Los_Angeles,3,93208,1840116481
Seacliff,Seacliff,CA,California,6087,Santa Cruz,6087,Santa Cruz,36.977,-121.9176,3231,1709,polygon,FALSE,FALSE,America/Los_Angeles,3,95003,1840114651
Stockton,Stockton,CA,California,6077,San Joaquin,6077,San Joaquin,37.9766,-121.3111,394467,1943,polygon,FALSE,TRUE,America/Los_Angeles,2,95219 95212 95210 95211 95209 95205 95207 95202 95204 95206 95203 95201 95267 95269 95296 95297,1840107085
Angwin,Angwin,CA,California,6055,Napa,6055,Napa,38.5776,-122.4512,3463,276,polygon,FALSE,FALSE,America/Los_Angeles,3,94508,1840111799
Tecopa,Tecopa,CA,California,6027,Inyo,6027,Inyo,35.835,-116.2074,153,3,polygon,FALSE,FALSE,America/Los_Angeles,3,92389,1840113554
Durham,Durham,CA,California,6007,Butte,6007,Butte,39.6232,-121.7875,5819,27,polygon,FALSE,FALSE,America/Los_Angeles,3,95965 95928 95938 95958,1840112698
Orcutt,Orcutt,CA,California,6083,Santa Barbara,6083,Santa Barbara,34.8668,-120.4269,30001,1041,polygon,FALSE,FALSE,America/Los_Angeles,3,93455 93457,1840112975
Emerald Lake Hills,Emerald Lake Hills,CA,California,6081,San Mateo,6081,San Mateo,37.4663,-122.2675,4648,1501,polygon,FALSE,FALSE,America/Los_Angeles,3,94062,1840112119
Guinda,Guinda,CA,California,6113,Yolo,6113,Yolo,38.8274,-122.1985,259,34,polygon,FALSE,FALSE,America/Los_Angeles,3,95637,1840117546
Salton Sea Beach,Salton Sea Beach,CA,California,6025,Imperial,6025,Imperial,33.3759,-116.0113,549,703,polygon,FALSE,FALSE,America/Los_Angeles,3,92274,1840113201
Fairfield,Fairfield,CA,California,6095,Solano,6095,Solano,38.2594,-122.0319,147582,1094,polygon,FALSE,TRUE,America/Los_Angeles,2,94585 94533 94534 94535,1840105891
Vineyard,Vineyard,CA,California,6067,Sacramento,6067,Sacramento,38.4744,-121.319,27585,619,polygon,FALSE,FALSE,America/Los_Angeles,3,95830 95829,1840113359
Acalanes Ridge,Acalanes Ridge,CA,California,6013,Contra Costa,6013,Contra Costa,37.9045,-122.0786,894,749,polygon,FALSE,TRUE,America/Los_Angeles,3,94597,1840114447
North Edwards,North Edwards,CA,California,6029,Kern,6029,Kern,35.0474,-117.8093,812,24,polygon,FALSE,FALSE,America/Los_Angeles,3,93523,1840112919
Rosemead,Rosemead,CA,California,6037,Los Angeles,6037,Los Angeles,34.0688,-118.0823,54554,4080,polygon,FALSE,TRUE,America/Los_Angeles,2,91770 91771 91772,1840106178
Milford,Milford,CA,California,6035,Lassen,6035,Lassen,40.1634,-120.3686,183,13,polygon,FALSE,FALSE,America/Los_Angeles,3,96121,1840117564
Honcut,Honcut,CA,California,6007,Butte,6007,Butte,39.3326,-121.5387,150,13,polygon,FALSE,FALSE,America/Los_Angeles,3,95966,1840117279
Escalon,Escalon,CA,California,6077,San Joaquin,6077,San Joaquin,37.7912,-120.9981,7615,1273,polygon,FALSE,TRUE,America/Los_Angeles,3,95320,1840105890
Rossmoor,Rossmoor,CA,California,6059,Orange,6059,Orange,33.7886,-118.0803,10920,2731,polygon,FALSE,FALSE,America/Los_Angeles,2,90720,1840113172
Ojai,Ojai,CA,California,6111,Ventura,6111,Ventura,34.4487,-119.2469,7582,673,polygon,FALSE,TRUE,America/Los_Angeles,3,93023 93024,1840105738
Placerville,Placerville,CA,California,6017,El Dorado,6017,El Dorado,38.7308,-120.7978,31260,722,polygon,FALSE,TRUE,America/Los_Angeles,3,95667,1840011438
South El Monte,South El Monte,CA,California,6037,Los Angeles,6037,Los Angeles,34.0493,-118.0484,20987,2849,polygon,FALSE,TRUE,America/Los_Angeles,2,91733,1840106192
Millville,Millville,CA,California,6089,Shasta,6089,Shasta,40.5576,-122.1696,657,31,polygon,FALSE,FALSE,America/Los_Angeles,3,96062 96073,1840112823
Temescal Valley,Temescal Valley,CA,California,6065,Riverside,6065,Riverside,33.7581,-117.4677,25411,507,polygon,FALSE,TRUE,America/Los_Angeles,3,92883,1840117820
Diablo,Diablo,CA,California,6013,Contra Costa,6013,Contra Costa,37.8408,-121.9565,618,175,polygon,FALSE,FALSE,America/Los_Angeles,3,94506 94528,1840112673
Panorama Heights,Panorama Heights,CA,California,6107,Tulare,6107,Tulare,35.8068,-118.627,38,30,polygon,FALSE,FALSE,America/Los_Angeles,3,93260,1840116494
Fulton,Fulton,CA,California,6097,Sonoma,6097,Sonoma,38.4937,-122.7734,493,97,polygon,FALSE,FALSE,America/Los_Angeles,3,95439,1840114541
Rancho Mirage,Rancho Mirage,CA,California,6065,Riverside,6065,Riverside,33.7634,-116.4271,18306,278,polygon,FALSE,TRUE,America/Los_Angeles,3,92270,1840107723
Yuba City,Yuba City,CA,California,6101,Sutter,6101,Sutter,39.1357,-121.6381,120186,1732,polygon,FALSE,TRUE,America/Los_Angeles,2,95991 95993,1840107233
San Diego Country Estates,San Diego Country Estates,CA,California,6073,San Diego,6073,San Diego,33.0093,-116.7874,10633,244,polygon,FALSE,FALSE,America/Los_Angeles,3,92065,1840113209
Capitola,Capitola,CA,California,6087,Santa Cruz,6087,Santa Cruz,36.9772,-121.9539,10180,2467,polygon,FALSE,TRUE,America/Los_Angeles,2,95010,1840106359
Lanare,Lanare,CA,California,6019,Fresno,6019,Fresno,36.4377,-119.9322,176,33,polygon,FALSE,FALSE,America/Los_Angeles,3,93656,1840112582
Contra Costa Centre,Contra Costa Centre,CA,California,6013,Contra Costa,6013,Contra Costa,37.9261,-122.0539,6440,3906,polygon,FALSE,FALSE,America/Los_Angeles,2,94597 94598,1840113362
Kennedy Meadows,Kennedy Meadows,CA,California,6107,Tulare,6107,Tulare,36.0076,-118.11,21,1,polygon,FALSE,TRUE,America/Los_Angeles,3,93527,1840116487
Rancho Santa Margarita,Rancho Santa Margarita,CA,California,6059,Orange,6059,Orange,33.6317,-117.5989,48793,1461,polygon,FALSE,TRUE,America/Los_Angeles,3,92679 92688,1840108384
North Shore,North Shore,CA,California,6065,Riverside,6065,Riverside,33.5157,-115.9092,3349,115,polygon,FALSE,TRUE,America/Los_Angeles,3,92254,1840114616
Interlaken,Interlaken,CA,California,6087,Santa Cruz,6087,Santa Cruz,36.9505,-121.7363,6725,264,polygon,FALSE,FALSE,America/Los_Angeles,3,95076,1840112447
Homestead Valley,Homestead Valley,CA,California,6071,San Bernardino,6071,San Bernardino,34.273,-116.4145,2987,34,polygon,FALSE,TRUE,America/Los_Angeles,3,92284 92285,1840117861
Coleville,Coleville,CA,California,6051,Mono,6051,Mono,38.5834,-119.516,328,9,polygon,FALSE,FALSE,America/Los_Angeles,3,96107,1840114498
Knightsen,Knightsen,CA,California,6013,Contra Costa,6013,Contra Costa,37.9633,-121.6511,1576,72,polygon,FALSE,FALSE,America/Los_Angeles,3,94548 94513,1840112512
Mendocino,Mendocino,CA,California,6045,Mendocino,6045,Mendocino,39.311,-123.7908,664,113,polygon,FALSE,FALSE,America/Los_Angeles,3,95460,1840112805
Dunsmuir,Dunsmuir,CA,California,6093,Siskiyou,6093,Siskiyou,41.2319,-122.2714,1580,380,polygon,FALSE,TRUE,America/Los_Angeles,3,96067 96025,1840011393
Kings Beach,Kings Beach,CA,California,6061,Placer,6061,Placer,39.249,-120.0201,2824,317,polygon,FALSE,FALSE,America/Los_Angeles,3,96143,1840112500
Myers Flat,Myers Flat,CA,California,6023,Humboldt,6023,Humboldt,40.2666,-123.8737,0,0,polygon,FALSE,FALSE,America/Los_Angeles,3,95554,1840117194
Corona,Corona,CA,California,6065,Riverside,6065,Riverside,33.862,-117.5641,167836,1643,polygon,FALSE,TRUE,America/Los_Angeles,2,92882 92880 92881 92879 92877 92878,1840105690
East Shore,East Shore,CA,California,6063,Plumas,6063,Plumas,40.2451,-121.0768,193,62,polygon,FALSE,FALSE,America/Los_Angeles,3,96137,1840112079
Yreka,Yreka,CA,California,6093,Siskiyou,6093,Siskiyou,41.7292,-122.6311,7437,293,polygon,FALSE,TRUE,America/Los_Angeles,3,96097,1840105667
Beaumont,Beaumont,CA,California,6065,Riverside,6065,Riverside,33.907,-116.9762,46967,604,polygon,FALSE,TRUE,America/Los_Angeles,3,92223,1840107285
Bear Creek,Bear Creek,CA,California,6047,Merced,6047,Merced,37.2966,-120.4177,186,1253,polygon,FALSE,FALSE,America/Los_Angeles,3,95340,1840118011
San Pablo,San Pablo,CA,California,6013,Contra Costa,6013,Contra Costa,37.9628,-122.3425,31156,4574,polygon,FALSE,TRUE,America/Los_Angeles,2,94806,1840106967
Alpine Village,Alpine Village,CA,California,6003,Alpine,6003,Alpine,38.7856,-119.8009,179,24,polygon,FALSE,FALSE,America/Los_Angeles,3,96120,1840111787
Dorrington,Dorrington,CA,California,6009,Calaveras,6009,Calaveras,38.2949,-120.2706,238,25,polygon,FALSE,FALSE,America/Los_Angeles,3,95223,1840112687
Smith River,Smith River,CA,California,6015,Del Norte,6015,Del Norte,41.925,-124.1494,746,72,polygon,FALSE,FALSE,America/Los_Angeles,3,95567,1840117197
Oakley,Oakley,CA,California,6013,Contra Costa,6013,Contra Costa,37.9929,-121.6951,41714,1015,polygon,FALSE,TRUE,America/Los_Angeles,3,94561,1840011430
Agua Dulce,Agua Dulce,CA,California,6037,Los Angeles,6037,Los Angeles,34.5044,-118.316,3598,60,polygon,FALSE,FALSE,America/Los_Angeles,3,91390,1840114449
McArthur,McArthur,CA,California,6089,Shasta,6089,Shasta,41.0415,-121.4068,380,146,polygon,FALSE,FALSE,America/Los_Angeles,3,96056 96028,1840112227
Oroville East,Oroville East,CA,California,6007,Butte,6007,Butte,39.4947,-121.4866,7349,131,polygon,FALSE,TRUE,America/Los_Angeles,3,95966,1840112977
Meridian,Meridian,CA,California,6101,Sutter,6101,Sutter,39.1404,-121.9079,451,32,polygon,FALSE,FALSE,America/Los_Angeles,3,95957,1840114598
Dixon Lane-Meadow Creek,Dixon Lane-Meadow Creek,CA,California,6027,Inyo,6027,Inyo,37.3864,-118.4153,2738,314,polygon,FALSE,TRUE,America/Los_Angeles,3,93514,1840112680
Chino Hills,Chino Hills,CA,California,6071,San Bernardino,6071,San Bernardino,33.9507,-117.7253,80374,694,polygon,FALSE,TRUE,America/Los_Angeles,3,91709,1840107954
Bonsall,Bonsall,CA,California,6073,San Diego,6073,San Diego,33.2761,-117.1942,4341,125,polygon,FALSE,FALSE,America/Los_Angeles,3,92003 92084,1840111931
Folsom,Folsom,CA,California,6067,Sacramento,6067,Sacramento,38.6669,-121.1422,78038,1083,polygon,FALSE,TRUE,America/Los_Angeles,3,95630 95671 95763,1840011400
Susanville,Susanville,CA,California,6035,Lassen,6035,Lassen,40.4205,-120.6129,8783,744,polygon,FALSE,TRUE,America/Los_Angeles,3,96130 96127,1840011475
San Rafael,San Rafael,CA,California,6041,Marin,6041,Marin,37.9904,-122.5222,59070,1376,polygon,FALSE,TRUE,America/Los_Angeles,3,94901 94903 94912 94915,1840106968
Calabasas,Calabasas,CA,California,6037,Los Angeles,6037,Los Angeles,34.1375,-118.6689,24202,682,polygon,FALSE,TRUE,America/Los_Angeles,3,91302 91372,1840010749
Cuyama,Cuyama,CA,California,6083,Santa Barbara,6083,Santa Barbara,34.9312,-119.6148,16,13,polygon,FALSE,FALSE,America/Los_Angeles,3,93254,1840114509
Wawona,Wawona,CA,California,6043,Mariposa,6043,Mariposa,37.5482,-119.6395,237,14,polygon,FALSE,FALSE,America/Los_Angeles,3,95389,1840114700
Concow,Concow,CA,California,6007,Butte,6007,Butte,39.7733,-121.5196,762,10,polygon,FALSE,FALSE,America/Los_Angeles,3,95965,1840111716
Westlake Village,Westlake Village,CA,California,6037,Los Angeles,6037,Los Angeles,34.1369,-118.8221,8440,628,polygon,FALSE,TRUE,America/Los_Angeles,3,91361 91362,1840113586
Sisquoc,Sisquoc,CA,California,6083,Santa Barbara,6083,Santa Barbara,34.8622,-120.2942,238,41,polygon,FALSE,FALSE,America/Los_Angeles,3,93454,1840114663
Jackson,Jackson,CA,California,6005,Amador,6005,Amador,38.3485,-120.7728,7394,509,polygon,FALSE,TRUE,America/Los_Angeles,3,95642,1840106628
Trowbridge,Trowbridge,CA,California,6101,Sutter,6101,Sutter,38.9263,-121.5148,241,13,polygon,FALSE,FALSE,America/Los_Angeles,3,95659 95674,1840114686
Calistoga,Calistoga,CA,California,6055,Napa,6055,Napa,38.5818,-122.5824,5273,790,polygon,FALSE,TRUE,America/Los_Angeles,3,94515,1840011382
Ladera Ranch,Ladera Ranch,CA,California,6059,Orange,6059,Orange,33.5491,-117.6416,28769,2260,polygon,FALSE,FALSE,America/Los_Angeles,2,92694,1840114568
Cleone,Cleone,CA,California,6045,Mendocino,6045,Mendocino,39.4927,-123.7812,760,184,polygon,FALSE,FALSE,America/Los_Angeles,3,95437,1840117529
Ford City,Ford City,CA,California,6029,Kern,6029,Kern,35.1647,-119.4584,4388,1103,polygon,FALSE,FALSE,America/Los_Angeles,3,93268,1840112258
University of California-Davis,University of California-Davis,CA,California,6113,Yolo,6113,Yolo,38.5374,-121.7576,7221,1906,polygon,FALSE,TRUE,America/Los_Angeles,3,95616,1840117619
Oasis,Oasis,CA,California,6065,Riverside,6065,Riverside,33.5275,-116.1261,3240,63,polygon,FALSE,FALSE,America/Los_Angeles,3,92274,1840118296
Marina,Marina,CA,California,6053,Monterey,6053,Monterey,36.6812,-121.7894,22145,961,polygon,FALSE,TRUE,America/Los_Angeles,3,93933,1840106716
San Clemente,San Clemente,CA,California,6059,Orange,6059,Orange,33.4498,-117.6103,65267,1372,polygon,FALSE,TRUE,America/Los_Angeles,3,92672 92673 92674,1840107760
Whittier,Whittier,CA,California,6037,Los Angeles,6037,Los Angeles,33.9678,-118.0188,86838,2288,polygon,FALSE,TRUE,America/Los_Angeles,2,90603 90602 90601 90606 90605 90607 90608 90609,1840105776
Mono City,Mono City,CA,California,6051,Mono,6051,Mono,38.0412,-119.1466,58,4,polygon,FALSE,FALSE,America/Los_Angeles,3,93541,1840114603
Laguna Beach,Laguna Beach,CA,California,6059,Orange,6059,Orange,33.5449,-117.7613,23147,1005,polygon,FALSE,TRUE,America/Los_Angeles,3,92651 92652,1840107547
Kernville,Kernville,CA,California,6029,Kern,6029,Kern,35.7531,-118.4321,1175,36,polygon,FALSE,FALSE,America/Los_Angeles,3,93238,1840112493
Silver City,Silver City,CA,California,6107,Tulare,6107,Tulare,36.4638,-118.6508,0,0,polygon,FALSE,FALSE,America/Los_Angeles,3,93271,1840116508
Ripon,Ripon,CA,California,6077,San Joaquin,6077,San Joaquin,37.7415,-121.1309,15677,1149,polygon,FALSE,TRUE,America/Los_Angeles,3,95366,1840011471
Mexican Colony,Mexican Colony,CA,California,6029,Kern,6029,Kern,35.4689,-119.2687,391,4750,polygon,FALSE,FALSE,America/Los_Angeles,2,93263,1840118015
Bella Vista,Bella Vista,CA,California,6089,Shasta,6089,Shasta,40.6502,-122.245,2771,48,polygon,FALSE,FALSE,America/Los_Angeles,3,96008 96003,1840114462
Hydesville,Hydesville,CA,California,6023,Humboldt,6023,Humboldt,40.5579,-124.0822,1004,51,polygon,FALSE,FALSE,America/Los_Angeles,3,95547,1840112435
Niland,Niland,CA,California,6025,Imperial,6025,Imperial,33.2387,-115.5146,690,663,polygon,FALSE,FALSE,America/Los_Angeles,3,92257,1840112909
Bodega Bay,Bodega Bay,CA,California,6097,Sonoma,6097,Sonoma,38.325,-123.0308,629,29,polygon,FALSE,FALSE,America/Los_Angeles,3,94923,1840111920
Calpine,Calpine,CA,California,6091,Sierra,6091,Sierra,39.6633,-120.4436,212,115,polygon,FALSE,FALSE,America/Los_Angeles,3,96124,1840114477
Hat Creek,Hat Creek,CA,California,6089,Shasta,6089,Shasta,40.8101,-121.4809,219,1,polygon,FALSE,FALSE,America/Los_Angeles,3,96040,1840114553
Boulevard,Boulevard,CA,California,6073,San Diego,6073,San Diego,32.664,-116.2896,439,43,polygon,FALSE,FALSE,America/Los_Angeles,3,91905,1840114469
Carson,Carson,CA,California,6037,Los Angeles,6037,Los Angeles,33.8374,-118.2559,92735,1912,polygon,FALSE,TRUE,America/Los_Angeles,3,90248 90810 90747 90746 90745 90224 90749 90895,1840107341
Guadalupe,Guadalupe,CA,California,6083,Santa Barbara,6083,Santa Barbara,34.9608,-120.5735,7370,2171,polygon,FALSE,TRUE,America/Los_Angeles,2,93434,1840105710
Elkhorn,Elkhorn,CA,California,6053,Monterey,6053,Monterey,36.8103,-121.7211,1052,84,polygon,FALSE,FALSE,America/Los_Angeles,3,93907 95012,1840112114
Delleker,Delleker,CA,California,6063,Plumas,6063,Plumas,39.8101,-120.4968,669,93,polygon,FALSE,FALSE,America/Los_Angeles,3,96122,1840112660
Huntington Beach,Huntington Beach,CA,California,6059,Orange,6059,Orange,33.696,-118.0025,201874,2886,polygon,FALSE,TRUE,America/Los_Angeles,2,92646 92647 92648 92649 90742 92605 92615,1840105717
Williams,Williams,CA,California,6011,Colusa,6011,Colusa,39.1487,-122.1373,5410,379,polygon,FALSE,TRUE,America/Los_Angeles,3,95987,1840105662
Solvang,Solvang,CA,California,6083,Santa Barbara,6083,Santa Barbara,34.5936,-120.1401,16741,940,polygon,FALSE,TRUE,America/Los_Angeles,3,93463,1840107805
Sebastopol,Sebastopol,CA,California,6097,Sonoma,6097,Sonoma,38.4,-122.8277,7666,1591,polygon,FALSE,TRUE,America/Los_Angeles,3,95472 95473,1840011456
